[s],CH2[V]
-2.62000E-06,5.045510659E-02
-2.61000E-06,5.019250759E-02
-2.60000E-06,5.034336552E-02
-2.59000E-06,5.006977923E-02
-2.58000E-06,5.022984012E-02
-2.57000E-06,5.077853094E-02
-2.56000E-06,5.176607505E-02
-2.55000E-06,5.294535634E-02
-2.54000E-06,5.214810842E-02
-2.53000E-06,5.201905911E-02
-2.52000E-06,5.202042096E-02
-2.51000E-06,5.085334098E-02
-2.50000E-06,4.926987342E-02
-2.49000E-06,4.846658778E-02
-2.48000E-06,4.787729523E-02
-2.47000E-06,4.802688668E-02
-2.46000E-06,4.789800045E-02
-2.45000E-06,4.825725244E-02
-2.44000E-06,4.811961053E-02
-2.43000E-06,4.826564287E-02
-2.42000E-06,4.905634096E-02
-2.41000E-06,4.937480525E-02
-2.40000E-06,5.049605832E-02
-2.39000E-06,4.983843023E-02
-2.38000E-06,4.964560872E-02
-2.37000E-06,4.985491354E-02
-2.36000E-06,4.926306895E-02
-2.35000E-06,4.828650450E-02
-2.34000E-06,4.763824244E-02
-2.33000E-06,4.782398960E-02
-2.32000E-06,4.848327517E-02
-2.31000E-06,4.885887028E-02
-2.30000E-06,4.900671461E-02
-2.29000E-06,4.884045006E-02
-2.28000E-06,4.860624099E-02
-2.27000E-06,4.895235231E-02
-2.26000E-06,4.929559497E-02
-2.25000E-06,5.031573280E-02
-2.24000E-06,5.015410789E-02
-2.23000E-06,4.988084204E-02
-2.22000E-06,5.043081650E-02
-2.21000E-06,5.051859555E-02
-2.20000E-06,4.998907454E-02
-2.19000E-06,4.944160347E-02
-2.18000E-06,4.898480966E-02
-2.17000E-06,4.933329658E-02
-2.16000E-06,4.922746447E-02
-2.15000E-06,4.880084778E-02
-2.14000E-06,4.851947570E-02
-2.13000E-06,4.794574330E-02
-2.12000E-06,4.820421194E-02
-2.11000E-06,4.852778697E-02
-2.10000E-06,4.944320373E-02
-2.09000E-06,4.999591429E-02
-2.08000E-06,4.955855065E-02
-2.07000E-06,4.976119691E-02
-2.06000E-06,4.973328096E-02
-2.05000E-06,4.969932729E-02
-2.04000E-06,4.868354107E-02
-2.03000E-06,4.856773639E-02
-2.02000E-06,4.905376032E-02
