[s],CH2[V]
-3.42000E-06,2.591771199E-03
-3.41000E-06,2.623021200E-03
-3.40000E-06,2.567357135E-03
-3.39000E-06,2.581029011E-03
-3.38000E-06,2.581029011E-03
-3.37000E-06,2.565404010E-03
-3.36000E-06,2.560521197E-03
-3.35000E-06,2.556614947E-03
-3.34000E-06,2.516575883E-03
-3.33000E-06,2.543919634E-03
-3.32000E-06,2.502904007E-03
-3.31000E-06,2.517552445E-03
-3.30000E-06,2.479466506E-03
-3.29000E-06,2.508763382E-03
-3.28000E-06,2.508763382E-03
-3.27000E-06,2.532200883E-03
-3.26000E-06,2.559544635E-03
-3.25000E-06,2.439427441E-03
-3.24000E-06,2.394505564E-03
-3.23000E-06,2.447239942E-03
-3.22000E-06,2.454075880E-03
-3.21000E-06,2.501927444E-03
-3.20000E-06,2.543919634E-03
-3.19000E-06,2.491185256E-03
-3.18000E-06,2.536107133E-03
-3.17000E-06,2.424779003E-03
-3.16000E-06,2.457982130E-03
-3.15000E-06,2.492161819E-03
-3.14000E-06,2.494114944E-03
-3.13000E-06,2.501927444E-03
-3.12000E-06,2.509739945E-03
-3.11000E-06,2.457005567E-03
-3.10000E-06,2.512669632E-03
-3.09000E-06,2.443333692E-03
-3.08000E-06,2.501927444E-03
-3.07000E-06,2.534154008E-03
-3.06000E-06,2.551732134E-03
-3.05000E-06,2.562474322E-03
-3.04000E-06,2.569310260E-03
-3.03000E-06,2.544896196E-03
-3.02000E-06,2.556614947E-03
-3.01000E-06,2.578099323E-03
-3.00000E-06,2.525364945E-03
-2.99000E-06,2.570286823E-03
-2.98000E-06,2.551732134E-03
-2.97000E-06,2.512669632E-03
-2.96000E-06,2.581029011E-03
-2.95000E-06,2.553685259E-03
-2.94000E-06,2.567357135E-03
-2.93000E-06,2.563450885E-03
-2.92000E-06,2.554661822E-03
-2.91000E-06,2.588841511E-03
-2.90000E-06,2.456029005E-03
-2.89000E-06,2.548802447E-03
-2.88000E-06,2.545872759E-03
-2.87000E-06,2.514622757E-03
-2.86000E-06,2.505833695E-03
-2.85000E-06,2.529271196E-03
-2.84000E-06,2.540989946E-03
-2.83000E-06,2.564427447E-03
-2.82000E-06,2.581029011E-03
-2.81000E-06,2.531224321E-03
-2.80000E-06,2.524388383E-03
-2.79000E-06,2.504857132E-03
-2.78000E-06,2.554661822E-03
-2.77000E-06,2.571263385E-03
-2.76000E-06,2.526341508E-03
-2.75000E-06,2.495091507E-03
-2.74000E-06,2.547825884E-03
-2.73000E-06,2.555638384E-03
-2.72000E-06,2.483372756E-03
-2.71000E-06,2.539036821E-03
-2.70000E-06,2.540989946E-03
-2.69000E-06,2.525364945E-03
-2.68000E-06,2.540013384E-03
-2.67000E-06,2.590794636E-03
-2.66000E-06,2.546849321E-03
-2.65000E-06,2.501927444E-03
-2.64000E-06,2.484349319E-03
-2.63000E-06,2.532200883E-03
-2.62000E-06,2.522435258E-03
-2.61000E-06,2.574193073E-03
-2.60000E-06,2.351536812E-03
-2.59000E-06,2.558568072E-03
-2.58000E-06,2.485325881E-03
-2.57000E-06,2.483372756E-03
-2.56000E-06,2.464818068E-03
-2.55000E-06,2.486302444E-03
-2.54000E-06,2.459935255E-03
-2.53000E-06,2.564427447E-03
-2.52000E-06,2.570286823E-03
-2.51000E-06,2.528294633E-03
-2.50000E-06,2.445286817E-03
-2.49000E-06,2.428685253E-03
-2.48000E-06,2.526341508E-03
-2.47000E-06,2.560521197E-03
-2.46000E-06,2.501927444E-03
-2.45000E-06,2.451146192E-03
-2.44000E-06,2.505833695E-03
-2.43000E-06,2.429661816E-03
-2.42000E-06,2.512669632E-03
-2.41000E-06,2.421849316E-03
-2.40000E-06,2.522435258E-03
-2.39000E-06,2.378880563E-03
-2.38000E-06,2.566380572E-03
-2.37000E-06,2.576146198E-03
-2.36000E-06,2.502904007E-03
-2.35000E-06,2.547825884E-03
-2.34000E-06,2.561497760E-03
-2.33000E-06,2.532200883E-03
-2.32000E-06,2.589818074E-03
-2.31000E-06,2.470677443E-03
-2.30000E-06,2.553685259E-03
-2.29000E-06,2.466771193E-03
-2.28000E-06,2.552708697E-03
-2.27000E-06,2.565404010E-03
-2.26000E-06,2.546849321E-03
-2.25000E-06,2.568333697E-03
-2.24000E-06,2.560521197E-03
-2.23000E-06,2.574193073E-03
-2.22000E-06,2.570286823E-03
-2.21000E-06,2.517552445E-03
-2.20000E-06,2.521458695E-03
-2.19000E-06,2.583958698E-03
-2.18000E-06,2.496068069E-03
-2.17000E-06,2.565404010E-03
-2.16000E-06,2.452122754E-03
